Data,PPinv,time dummy,time fast,grid,error_abs,error_sq
MNIST,DBM (UMAP+NNInv),1.25805473327637,1.39894652366638,64,0.0576835335458732,0.0234239481512413
MNIST,DBM (UMAP+NNInv),4.55107355117798,1.65267634391785,128,0.034461079010803,0.00846212552844657
MNIST,DBM (UMAP+NNInv),17.4561984539032,3.25963377952576,256,0.0239836606026385,0.00459029565565788
MNIST,DBM (UMAP+NNInv),65.9590499401093,6.5842502117157,512,0.0191038156386334,0.00351033371517741
MNIST,SSNP,1.29617643356323,1.63391637802124,64,0.0580215553744837,0.0108110155991306
MNIST,SSNP,4.46547961235046,2.44681334495544,128,0.0328804383180775,0.00348272923159314
MNIST,SSNP,17.0884110927582,4.22945713996887,256,0.0205085187130512,0.00141291935762875
MNIST,SSNP,66.6527228355408,7.38323044776917,512,0.0150141650986572,0.000862492632445661
HAR,DBM (UMAP+NNInv),1.05974221229553,0.938594818115234,64,0.0303747872243623,0.0370477052418443
HAR,DBM (UMAP+NNInv),4.16427826881409,1.95048213005066,128,0.0188716317901586,0.0136655534745809
HAR,DBM (UMAP+NNInv),15.7306017875671,3.81983375549316,256,0.0133654505537015,0.00732932184321166
HAR,DBM (UMAP+NNInv),61.0322201251984,7.71538782119751,512,0.0107237669791076,0.00534690695263152
HAR,SSNP,1.10429334640503,1.18919014930725,64,0.0233637221859369,0.0138260545878691
HAR,SSNP,3.95599365234375,1.966468334198,128,0.0127186801959881,0.00425604329081285
HAR,SSNP,15.3090205192566,3.34531950950623,256,0.00743563391424197,0.00155480163784217
HAR,SSNP,60.5107665061951,5.95867252349854,512,0.00502395328859456,0.000837269714042911
FashionMNIST,DBM (UMAP+NNInv),1.10697746276855,0.960150241851807,64,0.0442939748868347,0.0171175156768633
FashionMNIST,DBM (UMAP+NNInv),4.15779256820679,2.04564619064331,128,0.0269570230140039,0.00607377686249165
FashionMNIST,DBM (UMAP+NNInv),16.0921473503113,4.11349010467529,256,0.0189805014475202,0.00342251487069377
FashionMNIST,DBM (UMAP+NNInv),62.5112822055817,8.23064208030701,512,0.0149835355548298,0.00247935461257023
FashionMNIST,SSNP,1.1396849155426,1.41407227516174,64,0.0371410139287605,0.0085201373818154
FashionMNIST,SSNP,4.15173625946045,2.36916780471802,128,0.0222529431929077,0.0030023269111044
FashionMNIST,SSNP,16.1374573707581,4.0677661895752,256,0.0148286386117052,0.00134151514536712
FashionMNIST,SSNP,62.2734925746918,7.31780195236206,512,0.0112790170333311,0.000867160835216079
