Data,PPinv,time dummy,time fast,time fast general,grid,error_abs,error_sq,error_abs_general,error_sq_general
MNIST,DBM (UMAP+NNInv),1.3382301330566406,1.3687191009521484,3.7591657638549805,64,0.05996763159615763,0.019653090196201626,0.060208871190610344,0.01968163124929639
MNIST,DBM (UMAP+NNInv),4.385578393936157,1.534611463546753,6.686697006225586,128,0.036001098308384744,0.006972911818349915,0.03358216920820807,0.0060066053226876985
MNIST,DBM (UMAP+NNInv),17.252710580825806,3.041195869445801,8.527146339416504,256,0.024827940773867848,0.0036741627590035054,0.02131182285830001,0.0024648876024226333
MNIST,DBM (UMAP+NNInv),64.0305688381195,6.00944709777832,8.92655897140503,512,0.01999549691308801,0.0027993382324630776,0.0158523789288505,0.0016211830848601072
MNIST,SSNP,1.1882848739624023,1.4665119647979736,51.40531325340271,64,0.051876290161610925,0.008124088922229388,0.05033234580075524,0.007849208861792476
MNIST,SSNP,4.109396696090698,2.375943183898926,70.35868191719055,128,0.029270332827401328,0.0026497577829753503,0.02791727613407549,0.0024624056195452666
MNIST,SSNP,15.54252314567566,4.223046541213989,80.13208198547363,256,0.0184647758861248,0.0012210704927495704,0.017841010956781565,0.001177870194419733
MNIST,SSNP,60.87295699119568,7.7782557010650635,89.5263843536377,512,0.013665756399003094,0.0009058744281033849,0.012989150404232937,0.0008161291465453484
HAR,DBM (UMAP+NNInv),0.9841151237487793,0.8265666961669922,2.6612536907196045,64,0.030684169493910098,0.018533046493473225,0.030612422046294913,0.018862626514363892
HAR,DBM (UMAP+NNInv),3.6924383640289307,1.619264841079712,4.349661827087402,128,0.018783419597474506,0.006888836212146522,0.018441550475480323,0.0064191212638465235
HAR,DBM (UMAP+NNInv),14.329984426498413,3.3633170127868652,5.461417198181152,256,0.013097223017904272,0.003585249465731146,0.012664334405521012,0.002904870254853033
HAR,DBM (UMAP+NNInv),55.77458119392395,6.377533197402954,6.1289637088775635,512,0.01061052381138011,0.0026828462935018908,0.010011957972416734,0.001985730022488464
HAR,SSNP,1.0187323093414307,1.2500052452087402,14.49806809425354,64,0.015483620676595443,0.0029710847564708913,0.015243183593891867,0.002975330792374754
HAR,SSNP,3.7733733654022217,1.8784809112548828,19.249701738357544,128,0.009408432603677321,0.001450977245045118,0.00941009307741978,0.0014538622602669443
HAR,SSNP,14.802830219268799,3.099332094192505,20.146538972854614,256,0.0064413207484813415,0.0010056454755213275,0.006792549992623051,0.001070382576248464
HAR,SSNP,58.95145320892334,5.3270299434661865,20.14533233642578,512,0.005102826735688565,0.0008832856391671948,0.00559826563515362,0.000939023378782489
FashionMNIST,DBM (UMAP+NNInv),1.2173798084259033,0.8661818504333496,2.7586379051208496,64,0.04320387714121073,0.015872914563411007,0.042474251372039376,0.015049599261180765
FashionMNIST,DBM (UMAP+NNInv),3.950474500656128,1.7283825874328613,4.434674263000488,128,0.025820014570179368,0.0057190819571602035,0.0248855461413134,0.005012975480378984
FashionMNIST,DBM (UMAP+NNInv),14.957580327987671,3.4481756687164307,5.581009149551392,256,0.017933894153811036,0.0031285511995482094,0.01693018877109079,0.0023502932960911454
FashionMNIST,DBM (UMAP+NNInv),57.86496615409851,6.873214483261108,6.324499845504761,512,0.014678163911854706,0.002464600993388605,0.013689586787993497,0.0017234702594470074
FashionMNIST,SSNP,1.1980674266815186,1.4216945171356201,20.61862349510193,64,0.03516199208691499,0.006671970428226866,0.036198176875403,0.006905648420649888
FashionMNIST,SSNP,4.364877939224243,2.4273438453674316,28.2894868850708,128,0.021059504513630638,0.002518443182176963,0.022196478706875324,0.002747351112558843
FashionMNIST,SSNP,16.833929538726807,4.334374904632568,32.982826232910156,256,0.013675013662094539,0.0011869660365038059,0.016155566295652443,0.0017118400440251863
FashionMNIST,SSNP,65.22036933898926,7.6213579177856445,36.20993995666504,512,0.010346515238582855,0.0007824856041882547,0.013750051404928389,0.0014770376838026766
