Data,PPinv,time near dummy,time near,time grad dummy,time grad,time grad_reduced,time dist dummy,time dist,threshold,error near abs,error near sq,error grad abs,error grad sq,error grad reduced abs,error grad reduced sq,error dist abs,error dist sq,GRID,num_sparse_near,num_sparse_grad,num_sparse_grad_reduced,num_sparse_dist
MNIST,DBM(UMAP+NNInv),0,0,0.03070545196533203,0.853712797164917,0.03283214569091797,0,0,0.125,0,0,6.435353212213764,0.01116752475335922,9.894188159502422,0.024769467121556782,0,0,64,0,1156,1156,0
MNIST,DBM(UMAP+NNInv),0,0,0.11579108238220215,0.39693331718444824,0.3342902660369873,0,0,0.125,0,0,3.6954186508340308,0.003559195154362572,4.123261774922066,0.003986861545320857,0,0,128,0,14852,16274,0
MNIST,DBM(UMAP+NNInv),0,0,0.4502415657043457,0.9370467662811279,0.5794925689697266,0,0,0.125,0,0,2.749910925071691,0.0018458474258758878,3.552078602592988,0.002693485673063093,0,0,256,0,23760,25136,0
MNIST,DBM(UMAP+NNInv),0,0,1.6760358810424805,2.347038984298706,0.9089212417602539,0,0,0.125,0,0,2.4299764731638085,0.001446788349235994,2.9644308951652287,0.001991962616647914,0,0,512,0,33749,35289,0
MNIST,DBM(UMAP+NNInv),0,0,6.463024854660034,7.46478796005249,1.3157613277435303,0,0,0.125,0,0,2.3958854714072277,0.0014449403650693168,2.647404971122396,0.001718454761608008,0,0,1024,0,46262,47793,0
MNIST,DBM(t-SNE+NNInv),0,0,0.020235776901245117,0.04737234115600586,0.03396177291870117,0,0,0.125,0,0,6.728834818683875,0.010730544111393672,9.682539790302204,0.020920653455638746,0,0,64,0,1156,1156,0
MNIST,DBM(t-SNE+NNInv),0,0,0.09971928596496582,0.41867661476135254,0.3605039119720459,0,0,0.125,0,0,4.309767783885391,0.004505628973317263,4.5669168935251605,0.0047082741609528606,0,0,128,0,16216,16216,0
MNIST,DBM(t-SNE+NNInv),0,0,0.39043283462524414,1.137422800064087,0.8870742321014404,0,0,0.125,0,0,2.957186227718137,0.0021818294537981407,3.5452856393231946,0.002680371510312117,0,0,256,0,39447,40375,0
MNIST,DBM(t-SNE+NNInv),0,0,1.6460719108581543,2.8440046310424805,1.5130722522735596,0,0,0.125,0,0,2.2736340111574482,0.0013249472032864922,2.8751922109017216,0.0018134578868649266,0,0,512,0,62950,62844,0
MNIST,DBM(t-SNE+NNInv),0,0,6.5118772983551025,8.386826515197754,2.459378242492676,0,0,0.125,0,0,2.000337579883114,0.0010707976078138197,2.3272359302482077,0.0012909141737971427,0,0,1024,0,95966,96148,0
MNIST,SSNP,0,0,0.2070012092590332,0.6564774513244629,0.1604773998260498,0,0,0.125,0,0,2.1678373203147205,0.009992995727114415,3.5082043398598524,0.024303894591975843,0,0,64,0,1156,1156,0
MNIST,SSNP,0,0,0.3916351795196533,2.239680290222168,0.6487054824829102,0,0,0.125,0,0,0.9591152730573773,0.002099907067559605,1.108644251762172,0.0023348819944099615,0,0,128,0,13930,13160,0
MNIST,SSNP,0,0,1.5316095352172852,4.373040437698364,1.2745425701141357,0,0,0.125,0,0,0.6176068443150254,0.0008128930953737519,0.7827013166423139,0.0011003549732896487,0,0,256,0,23603,24394,0
MNIST,SSNP,0,0,6.137254476547241,10.009012222290039,2.1589314937591553,0,0,0.125,0,0,0.5047276955490788,0.0004800394724911036,0.6278955963755589,0.0007184740071290542,0,0,512,0,33239,34771,0
MNIST,SSNP,0,0,26.3003511428833,31.30471134185791,3.2704505920410156,0,0,0.125,0,0,0.49319057717148135,0.00046182763732459197,0.5530016671002993,0.0005820974860819111,0,0,1024,0,42738,44534,0
