Data,PPinv,time near dummy,time near,time grad dummy,time grad,time grad_reduced,time dist dummy,time dist,threshold,error near abs,error near sq,error grad abs,error grad sq,error grad reduced abs,error grad reduced sq,error dist abs,error dist sq,GRID,num_sparse_near,num_sparse_grad,num_sparse_grad_reduced,num_sparse_dist
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,2.4604556560516357,1.497734546661377,0.15,0,0,0,0,0,0,0.059244112447941435,0.02157303689561873,64,0,0,0,1156
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,10.282363653182983,8.401779174804688,0.15,0,0,0,0,0,0,0.029485756143700723,0.005568248354186544,128,0,0,0,14024
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,37.02007293701172,10.780862808227539,0.15,0,0,0,0,0,0,0.01656038307581448,0.0016879111988422895,256,0,0,0,18934
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,81.72105526924133,11.505213260650635,0.15,0,0,0,0,0,0,0.012471235372208529,0.0009539610806826387,384,0,0,0,19950
MNIST,DBM(UMAP+NNInv),0,0,0,0,0,144.88101363182068,12.272585391998291,0.15,0,0,0,0,0,0,0.01054084480226043,0.0006968140524023053,512,0,0,0,20932
MNIST,SSNP,0,0,0,0,0,2.7038779258728027,0.8726835250854492,0.15,0,0,0,0,0,0,0.07469840604849266,0.013932031416892844,64,0,0,0,1156
MNIST,SSNP,0,0,0,0,0,10.368250608444214,9.65840482711792,0.15,0,0,0,0,0,0,0.03647491367575778,0.0033692505715749196,128,0,0,0,15368
MNIST,SSNP,0,0,0,0,0,39.58341979980469,12.129521369934082,0.15,0,0,0,0,0,0,0.019562089619025544,0.0009559258645387101,256,0,0,0,19402
MNIST,SSNP,0,0,0,0,0,88.50513195991516,12.731557130813599,0.15,0,0,0,0,0,0,0.014269361277068734,0.0005253702586983724,384,0,0,0,19811
MNIST,SSNP,0,0,0,0,0,156.6952395439148,13.291931867599487,0.15,0,0,0,0,0,0,0.01162368275499339,0.00036607402586062346,512,0,0,0,20320
