Data,PPinv,time near dummy,time near,time grad dummy,time grad,time grad_reduced,time dist dummy,time dist,threshold,error near abs,error near sq,error grad abs,error grad sq,error grad reduced abs,error grad reduced sq,error dist abs,error dist sq,GRID,num_sparse_near,num_sparse_grad,num_sparse_grad_reduced,num_sparse_dist
MNIST,DBM(UMAP+NNInv),0,0,0.11349868774414062,1.2062416076660156,0.3422856330871582,0,0,0.125,0,0,4.148129300113457,0.004393689656724582,4.632996052974237,0.004904093891619946,0,0,128,0,13408,15829,0
MNIST,DBM(UMAP+NNInv),0,0,0.4207913875579834,1.0185797214508057,0.7453086376190186,0,0,0.125,0,0,2.9933305995972437,0.0021965928005966686,3.622225245342594,0.0028560736023466246,0,0,256,0,28750,31099,0
MNIST,DBM(UMAP+NNInv),0,0,0.9564418792724609,1.719780445098877,0.9927098751068115,0,0,0.125,0,0,2.6905996551192035,0.0018551948346723311,3.0721456529122944,0.002407347111584084,0,0,384,0,36863,39038,0
MNIST,DBM(UMAP+NNInv),0,0,1.7473676204681396,2.6889798641204834,1.2121400833129883,0,0,0.125,0,0,2.5418235347654896,0.001605950217463564,3.024984634131831,0.0021155244620355874,0,0,512,0,43278,46673,0
MNIST,DBM(UMAP+NNInv),0,0,2.556539297103882,3.6006038188934326,1.36421537399292,0,0,0.125,0,0,2.510950641241319,0.0016318529458035694,2.7330482998788175,0.0019020784774331076,0,0,640,0,48305,51474,0
MNIST,DBM(UMAP+NNInv),0,0,3.8042187690734863,5.016449928283691,1.5696783065795898,0,0,0.125,0,0,2.4751353945886283,0.0015990389397365632,2.703066536415688,0.0018514682362932322,0,0,768,0,54335,56070,0
MNIST,DBM(UMAP+NNInv),0,0,5.175059795379639,6.510350704193115,1.670161485671997,0,0,0.125,0,0,2.4888724830518663,0.0016401542603545968,2.650476075465171,0.0018210678398869243,0,0,896,0,59500,61372,0
MNIST,DBM(UMAP+NNInv),0,0,6.755966424942017,8.19663119316101,1.7711925506591797,0,0,0.125,0,0,2.45714061678121,0.0015822827822032544,2.7228444493024173,0.0018408321078343744,0,0,1024,0,62599,64563,0
MNIST,DBM(t-SNE+NNInv),0,0,0.09758520126342773,0.42898106575012207,0.38299107551574707,0,0,0.125,0,0,4.373234007671606,0.003976682977327939,4.616737902634729,0.0041722160757838396,0,0,128,0,15872,16008,0
MNIST,DBM(t-SNE+NNInv),0,0,0.3674294948577881,1.1624119281768799,0.9597554206848145,0,0,0.125,0,0,3.0073701809187035,0.0018701849339659124,3.5867785647441983,0.002360199298707797,0,0,256,0,39227,40608,0
MNIST,DBM(t-SNE+NNInv),0,0,0.9103744029998779,1.9706528186798096,1.308410882949829,0,0,0.125,0,0,2.505208637395813,0.0012782497129753595,2.9823044169376325,0.0018266516359579652,0,0,384,0,52094,51948,0
MNIST,DBM(t-SNE+NNInv),0,0,1.5957422256469727,2.9053783416748047,1.6774933338165283,0,0,0.125,0,0,2.3353492439394445,0.0011551018419980912,2.8794696438010345,0.0015705013128776927,0,0,512,0,63367,64434,0
MNIST,DBM(t-SNE+NNInv),0,0,2.415130376815796,3.835787773132324,1.8883559703826904,0,0,0.125,0,0,2.21358560320246,0.001042517420765339,2.5075043106089403,0.0013210185482950608,0,0,640,0,70710,73233,0
MNIST,DBM(t-SNE+NNInv),0,0,3.433164596557617,5.079765558242798,2.2087106704711914,0,0,0.125,0,0,2.1503574556155036,0.0010063556720605986,2.3973841298840894,0.001223048328463273,0,0,768,0,78879,79545,0
MNIST,DBM(t-SNE+NNInv),0,0,4.606434106826782,6.4462220668792725,2.4430646896362305,0,0,0.125,0,0,2.119753601322213,0.0009908525582154987,2.3314354650962468,0.001183385882277527,0,0,896,0,87579,88298,0
MNIST,DBM(t-SNE+NNInv),0,0,5.972293138504028,7.890593767166138,2.59010910987854,0,0,0.125,0,0,2.0885537952083526,0.0009785813479321803,2.4193249142508098,0.001220334590716035,0,0,1024,0,91482,92688,0
MNIST,SSNP,0,0,0.4669976234436035,2.3218257427215576,0.635897159576416,0,0,0.125,0,0,1.3592330471650358,0.003618971851117409,1.536378063896037,0.003918495160282808,0,0,128,0,13096,13068,0
MNIST,SSNP,0,0,1.5855400562286377,4.335623502731323,1.2250888347625732,0,0,0.125,0,0,0.8335306758216109,0.0014151190523059509,1.0390876056707494,0.0017926184716860623,0,0,256,0,22677,22645,0
MNIST,SSNP,0,0,3.4780545234680176,6.943204402923584,1.8389227390289307,0,0,0.125,0,0,0.6649342361561588,0.0007928454314428245,0.7989065379172126,0.0012536209140728834,0,0,384,0,29479,29392,0
MNIST,SSNP,0,0,6.197839260101318,10.09988021850586,2.0792057514190674,0,0,0.125,0,0,0.6147188792357192,0.0006829565279246019,0.7704531505140524,0.0009661165119543683,0,0,512,0,33606,33559,0
MNIST,SSNP,0,0,9.803778648376465,14.226483345031738,2.4998481273651123,0,0,0.125,0,0,0.5796488517512242,0.0005564729936395076,0.6507404016098167,0.0007416738627659969,0,0,640,0,37887,38706,0
MNIST,SSNP,0,0,14.089760303497314,18.848655223846436,2.9666128158569336,0,0,0.125,0,0,0.5654096972099276,0.0005223608453057103,0.6365503300718274,0.0006995340810163233,0,0,768,0,41520,41283,0
MNIST,SSNP,0,0,19.748698711395264,25.1639347076416,3.32026743888855,0,0,0.125,0,0,0.5572460543253765,0.0005019979950431802,0.6045041650689864,0.0006149900139126388,0,0,896,0,46922,46598,0
MNIST,SSNP,0,0,25.936171293258667,31.287855625152588,3.3580477237701416,0,0,0.125,0,0,0.5534825922670932,0.0005023328280096289,0.6260574688572584,0.0006262064115253047,0,0,1024,0,47463,46666,0
