Data,PPinv,time near dummy,time near,time grad dummy,time grad,time grad_reduced,time dist dummy,time dist,threshold,error near abs,error near sq,error grad abs,error grad sq,error grad reduced abs,error grad reduced sq,error dist abs,error dist sq,GRID,num_sparse_near,num_sparse_grad,num_sparse_grad_reduced,num_sparse_dist
MNIST,DBM(UMAP+NNInv),0.36286377906799316,1.1534571647644043,0,0,0,0,0,0.1,0.09364113012595156,0.0007860515278162853,0,0,0,0,0,0,100,5357,0,0,0
MNIST,DBM(UMAP+NNInv),1.3245165348052979,0.9676027297973633,0,0,0,0,0,0.1,0.050493543550105324,0.00023175448042998275,0,0,0,0,0,0,200,20067,0,0,0
MNIST,DBM(UMAP+NNInv),2.841858386993408,1.123011827468872,0,0,0,0,0,0.1,0.03846387685157499,0.00013940355451489748,0,0,0,0,0,0,300,23635,0,0,0
MNIST,DBM(UMAP+NNInv),5.1609108448028564,1.2368183135986328,0,0,0,0,0,0.1,0.031070624033342573,9.374709903042921e-05,0,0,0,0,0,0,400,24094,0,0,0
MNIST,DBM(UMAP+NNInv),8.629201412200928,1.1498401165008545,0,0,0,0,0,0.1,0.02667039646179811,6.930052150593374e-05,0,0,0,0,0,0,512,24885,0,0,0
MNIST,DBM(UMAP+NNInv),11.151207685470581,1.1887767314910889,0,0,0,0,0,0.1,0.025066133819428772,6.73221667080037e-05,0,0,0,0,0,0,600,23740,0,0,0
MNIST,DBM(UMAP+NNInv),15.043758869171143,1.3259809017181396,0,0,0,0,0,0.1,0.024064907458667354,6.48659152907662e-05,0,0,0,0,0,0,700,26170,0,0,0
MNIST,DBM(UMAP+NNInv),19.829189777374268,1.4009590148925781,0,0,0,0,0,0.1,0.022819049259423806,5.901354534562021e-05,0,0,0,0,0,0,800,27046,0,0,0
MNIST,DBM(UMAP+NNInv),24.93098497390747,1.320068597793579,0,0,0,0,0,0.1,0.02058762177330732,4.7133054968043576e-05,0,0,0,0,0,0,900,24743,0,0,0
MNIST,DBM(UMAP+NNInv),34.34667778015137,1.2986085414886475,0,0,0,0,0,0.1,0.020015028454366063,4.866426764669345e-05,0,0,0,0,0,0,1024,25146,0,0,0
MNIST,DBM(t-SNE+NNInv),0.3441200256347656,0.30150938034057617,0,0,0,0,0,0.1,0.10894714844024918,0.0008941987041427944,0,0,0,0,0,0,100,5409,0,0,0
MNIST,DBM(t-SNE+NNInv),1.269791603088379,0.8825216293334961,0,0,0,0,0,0.1,0.060324188425625584,0.00026689749028079403,0,0,0,0,0,0,200,17336,0,0,0
MNIST,DBM(t-SNE+NNInv),3.097654342651367,0.965259313583374,0,0,0,0,0,0.1,0.04614027559279362,0.00015695962878815398,0,0,0,0,0,0,300,19153,0,0,0
MNIST,DBM(t-SNE+NNInv),5.054678678512573,0.9629321098327637,0,0,0,0,0,0.1,0.037544466312701384,0.00010598596963469482,0,0,0,0,0,0,400,20000,0,0,0
MNIST,DBM(t-SNE+NNInv),8.354050397872925,0.9458847045898438,0,0,0,0,0,0.1,0.03307528469049107,8.653173223981836e-05,0,0,0,0,0,0,512,19390,0,0,0
MNIST,DBM(t-SNE+NNInv),11.253453493118286,0.9975693225860596,0,0,0,0,0,0.1,0.030552106727929372,7.54901842624145e-05,0,0,0,0,0,0,600,19601,0,0,0
MNIST,DBM(t-SNE+NNInv),15.311970233917236,1.0752313137054443,0,0,0,0,0,0.1,0.029731878134201115,7.50339377777803e-05,0,0,0,0,0,0,700,20924,0,0,0
MNIST,DBM(t-SNE+NNInv),19.816179275512695,1.0990915298461914,0,0,0,0,0,0.1,0.028768859746740243,7.585715897240473e-05,0,0,0,0,0,0,800,20166,0,0,0
MNIST,DBM(t-SNE+NNInv),25.465249061584473,1.0279903411865234,0,0,0,0,0,0.1,0.027097888754643456,6.714693826746345e-05,0,0,0,0,0,0,900,18473,0,0,0
MNIST,DBM(t-SNE+NNInv),35.97864866256714,1.1789836883544922,0,0,0,0,0,0.1,0.02563878301391033,6.319703719199144e-05,0,0,0,0,0,0,1024,19418,0,0,0
MNIST,SSNP,0.7994997501373291,1.0255086421966553,0,0,0,0,0,0.1,0.0391985266995145,0.00012420712312797088,0,0,0,0,0,0,100,7535,0,0,0
MNIST,SSNP,2.425013303756714,1.2223906517028809,0,0,0,0,0,0.1,0.021813989088348012,3.7449048750361393e-05,0,0,0,0,0,0,200,9635,0,0,0
MNIST,SSNP,4.9405198097229,1.2567784786224365,0,0,0,0,0,0.1,0.015899583875265546,1.9789238219453366e-05,0,0,0,0,0,0,300,9589,0,0,0
MNIST,SSNP,8.21380066871643,1.3742187023162842,0,0,0,0,0,0.1,0.012833973684286374,1.2926969268713178e-05,0,0,0,0,0,0,400,9983,0,0,0
MNIST,SSNP,14.486711978912354,1.2330374717712402,0,0,0,0,0,0.1,0.010956379071687112,9.42519396195066e-06,0,0,0,0,0,0,512,10168,0,0,0
MNIST,SSNP,18.697115898132324,1.3769783973693848,0,0,0,0,0,0.1,0.009997389479427023,8.274274575892417e-06,0,0,0,0,0,0,600,9742,0,0,0
MNIST,SSNP,26.208491563796997,1.4866390228271484,0,0,0,0,0,0.1,0.009314211777618429,7.532493113690226e-06,0,0,0,0,0,0,700,9893,0,0,0
MNIST,SSNP,31.256031274795532,1.2702953815460205,0,0,0,0,0,0.1,0.00870541778254246,6.603581708869336e-06,0,0,0,0,0,0,800,10125,0,0,0
